True Wavelength,Predicted Wavelength,Sensor,Absolute Error,Relative Error (%),Trial
250.0,-91.9543804598522,P_IR2,341.9543804598522,136.78175218394088,6
250.0,262.49729327519617,P_IR2,12.49729327519617,4.998917310078468,7
250.0,262.49729327519617,P_IR2,12.49729327519617,4.998917310078468,8
250.0,262.49729327519617,P_IR2,12.49729327519617,4.998917310078468,9
250.0,-278.9302422887785,P_IR2,528.9302422887786,211.57209691551145,10
250.0,262.49729327519617,P_IR2,12.49729327519617,4.998917310078468,11
250.0,247.61375224226754,P_IR2,2.3862477577324626,0.954499103092985,12
250.0,262.49729327519617,P_IR2,12.49729327519617,4.998917310078468,13
250.0,262.49729327519617,P_IR2,12.49729327519617,4.998917310078468,14
250.0,262.49729327519617,P_UV,12.49729327519617,4.998917310078468,0
250.0,404.69457210171737,P_UV,154.69457210171737,61.877828840686945,1
250.0,262.49729327519617,P_UV,12.49729327519617,4.998917310078468,2
250.0,262.49729327519617,P_UV,12.49729327519617,4.998917310078468,3
250.0,493.07870430963106,P_UV,243.07870430963106,97.23148172385243,4
250.0,269.0055930846754,P_UV,19.00559308467541,7.602237233870164,5
250.0,262.49729327519617,P_UV,12.49729327519617,4.998917310078468,6
250.0,295.55064380289167,P_UV,45.55064380289167,18.220257521156668,7
250.0,287.4806033530571,P_UV,37.48060335305712,14.992241341222847,8
250.0,262.49729327519617,P_UV,12.49729327519617,4.998917310078468,9
250.0,322.95847809000264,P_UV,72.95847809000264,29.183391236001054,10
250.0,262.49729327519617,P_UV,12.49729327519617,4.998917310078468,11
250.0,262.49729327519617,P_UV,12.49729327519617,4.998917310078468,12
250.0,262.49729327519617,P_UV,12.49729327519617,4.998917310078468,13
250.0,262.49729327519617,P_UV,12.49729327519617,4.998917310078468,14
250.0,232.3379990807769,C_UV,17.66200091922309,7.064800367689236,0
250.0,225.0639125333553,C_UV,24.936087466644693,9.974434986657878,1
250.0,262.49729327519617,C_UV,12.49729327519617,4.998917310078468,2
250.0,234.43819410419914,C_UV,15.561805895800859,6.224722358320343,3
250.0,233.37162347306216,C_UV,16.628376526937842,6.651350610775136,4
250.0,223.8096898538247,C_UV,26.190310146175307,10.476124058470122,5
250.0,233.1141001732548,C_UV,16.885899826745202,6.754359930698081,6
250.0,262.49729327519617,C_UV,12.49729327519617,4.998917310078468,7
250.0,262.49729327519617,C_UV,12.49729327519617,4.998917310078468,8
250.0,216.9305333166007,C_UV,33.0694666833993,13.22778667335972,9
250.0,227.64579619689326,C_UV,22.354203803106742,8.941681521242696,10
250.0,253.26326451853907,C_UV,3.2632645185390743,1.3053058074156296,11
250.0,262.49729327519617,C_UV,12.49729327519617,4.998917310078468,12
250.0,262.49729327519617,C_UV,12.49729327519617,4.998917310078468,13
250.0,233.76301632122562,C_UV,16.23698367877438,6.494793471509752,14
250.0,266.5385715520615,C_VISG,16.538571552061512,6.615428620824606,0
250.0,263.693779970306,C_VISG,13.693779970306025,5.4775119881224095,1
250.0,265.7903678618757,C_VISG,15.790367861875723,6.316147144750289,2
250.0,262.49729327519617,C_VISG,12.49729327519617,4.998917310078468,3
250.0,262.49729327519617,C_VISG,12.49729327519617,4.998917310078468,4
250.0,262.49729327519617,C_VISG,12.49729327519617,4.998917310078468,5
250.0,262.49729327519617,C_VISG,12.49729327519617,4.998917310078468,6
250.0,262.49729327519617,C_VISG,12.49729327519617,4.998917310078468,7
250.0,276.6250876341262,C_VISG,26.625087634126203,10.65003505365048,8
250.0,262.49729327519617,C_VISG,12.49729327519617,4.998917310078468,9
250.0,293.1467664524358,C_VISG,43.14676645243583,17.25870658097433,10
250.0,285.8944241731242,C_VISG,35.89442417312421,14.357769669249684,11
